Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct
SRR10983637	0.2781763	0.985246	1.2451619999999999	6.452302931498361	0.0	0.6741701591366169	19.297947	0.0	20.283193	2.2304079999999997	11.0
SRR10983638	0.2656941	8.642161999999999	15.759110999999999	75.42952742458345	0.0	5.7951907708873085	20.892495999999998	0.0	29.534658	24.401273	82.62
SRR10983639	0.2662586	7.633020999999999	15.015395	74.31825252811521	0.0	5.2530659246684674	20.204182	0.0	27.837203	22.648415999999997	81.36
SRR10983640	0.2768183	4.114752	12.425721999999999	78.88817874254407	0.0	4.220186619856686	15.751057	0.0	19.865809	16.540474	83.26
SRR10983641	0.5527339	0.622611	0.44736	3.510735500499936	0.0	0.5686974014545978	12.742628999999999	0.0	13.36524	1.069971	8.01
SRR10983642	0.305758	12.458473	15.743333999999999	76.02273226074486	0.0	8.283399856842907	20.708719	0.0	33.167192	28.201807	85.03
SRR10983643	0.2496036	28.909616	7.702062	53.282314993489535	0.0	21.839471680559942	14.455193999999999	0.0	43.36481	36.611678	84.43
SRR10983644	0.3427305	1.219472	4.024846	24.420020523309816	0.0	1.3427520759783536	16.481747	0.0	17.701219	5.244318	29.63
SRR10983645	0.3321324	0.020425	0.032320999999999996	1.710029818780541	0.0	0.1365018697581695	1.8900839999999999	0.0	1.910509	0.052745999999999994	2.76
SRR10983646	0.29660960000000003	4.657579	10.657104	80.5105970463166	0.0	6.024509069195679	13.236896	0.0	17.894475	15.314682999999999	85.58
SRR10983647	0.27982039999999997	6.257719	15.572574999999999	84.12847346007278	0.0	6.311736347685194	18.510469	0.0	24.768188	21.830294	88.14
SRR10983648	0.279633	5.828891	14.065308	84.18559833521464	0.0	6.06143385075169	16.707499	0.0	22.536389999999997	19.894199	88.28
SRR10983649	0.2797534	4.284600999999999	12.403983	86.52509335780184	0.0	5.549102360218604	14.335706	0.0	18.620307	16.688584	89.63
SRR10983650	0.5466928999999999	0.086397	0.16427	14.77714638343578	0.0	0.5634872158388124	1.1116489999999999	0.0	1.198046	0.250667	20.92
SRR10983651	0.306648	4.614662	12.080238	83.92635024277025	0.0	5.736760184345321	14.393856	0.0	19.008518	16.6949	87.83
SRR10983652	0.2977243	1.222604	1.833154	12.365357593570337	0.0	1.171608583036249	14.824917	0.0	16.047521	3.055758	19.04
SRR10983653	0.301921	0.303228	0.286939	1.6727262933622602	0.0	0.16741895113271724	17.153972	0.0	17.4572	0.590167	3.38
SRR10983654	0.3731103	0.7492329999999999	1.166309	6.636801385733861	0.0	0.266357714176458	17.57336	0.0	18.322592999999998	1.9155419999999999	10.45
SRR10983655	0.2967439	3.302159	2.750062	18.350064767595665	0.0	2.3918603350005716	14.986661	0.0	18.288819999999998	6.052220999999999	33.09
SRR10983656	0.3030769	0.11215	0.302356	40.04842538040944	0.0	2.214639935574111	0.754976	0.0	0.867126	0.414506	47.8
SRR10983657	0.2627575	6.865714	5.422794	56.572779895671786	0.0	8.870819500834488	9.585518	0.0	16.451232	12.288508	74.7
SRR10983658	0.2687675	2.36395	7.530126999999999	75.17162150439137	0.0	4.308888460072912	10.017247	0.0	12.381197	9.894077	79.91
SRR10983659	0.2706365	4.320345	11.944357	86.3082399722238	0.0	5.346752717013321	13.839184999999999	0.0	18.15953	16.264702	89.57
SRR10983660	0.2716339	5.080454	10.838773999999999	83.7904695185809	0.0	6.625522232535731	12.935569	0.0	18.016023	15.919227999999999	88.36
SRR10983661	0.30936420000000003	2.926008	7.108064	47.65514079225221	0.0	3.2683837872341823	14.915629	0.0	17.841637	10.034072	56.24
SRR10983662	0.26632859999999997	3.658988	10.920986	87.28999738952938	0.0	5.343751663515612	12.511154	0.0	16.170142	14.579974	90.17
SRR10983663	0.2733965	3.7474529999999997	10.338928	84.57451255407318	0.0	5.34549980130291	12.224637999999999	0.0	15.972090999999999	14.086381	88.19
